@budi18,12/30/2014,Banjir? Banjir Yg mana? Ngga ada banjir hanya air tergenang kata metrotipu @estiningsihdwi: Kabarnya jakarta banjir parah nggih?\nSemoga.....,3,3,Banjir,312
@fatheema_zein,12/30/2014,"Apa ??u dikata  masih ada yg butuh Pesta ""@RIFQl: astagfirullah  jakarta banjir  ahok ramein pesta tahun baru pake dana 1 M. @PintarPolitik""",2,2,tidak banjir,621
@rfmwl,12/30/2014,astagfirullah  jakarta banjir  ahok ramein pesta tahun baru pake dana 1 M. teganya dikau. Malaysia batalin itu krn banjir @PintarPolitik,3,1,unknown,67
@Alviannn48,12/30/2014,Jakarta suka banjir karena.......,2,,,
@ahmadghifariS,12/30/2014,Mesti semua ulah avatar. Tanah: Longsor banjarnegara. Api: kebakaran pasar klewer. Air: Banjir jakarta. Udara :Jatuhnya air asia.,2,,,
@PuisiSelamat,12/30/2014,#Sabtu    Info Jakarta @infojekardah     :Sabtu Pagi  Jakarta Timur Banjir Lagi - http://Tempo.co?? http...  http://goo.gl/PGI95U?,3,,,
@ardorefky,12/30/2014,"Karena banya orang jones:D""@Di_Kepoin: #Dikepoin Jakarta suka banjir karena.......""",2,,,
@MFitrah1975,12/30/2014,@AntiLiberalNews: Batalkan Acara Sambut Tahun Baru  Malaysia Alihkan Dana Untuk Korban Banjir http://tinyurl.com/qgsdxb8? #Jakarta,2,,,
@DetikRupiah,12/30/2014,?DhekhaDekoyy?  @dhekhadedis     :Hujan Deras  di Mana Saja Titik Banjir Jakarta? http://tempo.co/s/1631190?...  http://goo.gl/34wvoc?,2,,,
@puisinico,12/30/2014,"#Katanya Muhammadfikhans: yang jomblo kalau mlm minggu minta hujanwaeee"": Jakarta suka banjir karena.......""  http://goo.gl/n0ucxj?",2,,,
@ramaeleven,12/30/2014,"terlalu banyak bangunan""@NotersSobat: Jakarta suka banjir karena.......""",2,,,
@billysbstian,12/30/2014,"banjir ""@Bobotoh_Kepoo: #Gimel jakarta identik dengan...""",2,,,
@Khulafaur_R,12/30/2014,Pada tahun 1621 untuk pertama kalinya Batavia (Jakarta) mengalami banjir besar.,2,,,
@syafniar3,12/30/2014,Djarot Sesumbar Banjir di Jakarta Tidak Lama | PIYUNGAN ONLINE http://fb.me/4bEqLBfNh?,2,,,
@KINGYUNMON,12/30/2014,JAKARTA BANJIR \nbilang jokowi   ahok bohong \npdhal smua salah manusianya   MUARA DIBIKIN RUMAH \nair ngalir na kesitu dibuat rumah yh banjir,2,,,
@dianrapian,12/30/2014,20 Januari 2015 Diprediksi Puncak Banjir Jakarta: Badan Nasional Penanggulangan Bencana (BNPB) memprediksi pun... http://bit.ly/1A7Hffi?,2,,,
@Jrkengkeng,12/30/2014,"Resolusinya 2014 pengen bantuin jakarta bebas banjir pake gayung min?@TheComment_NET #TheCommentHampirAkhirTahunan""",2,,,
@saronday5,12/30/2014,SEBENERNYA KAMI BISA SAJA MEMBERI SOLUSI YG MUNGKIN BISA SEDIKIT MENGURANGI PENGANGURAN DI JAKARTA DAN = JAKARTA BEBAS BANJIR DAN MACET.,2,,,
@diiiiiiiil,12/30/2014,Tanah: bencana longsor banjarnegara Air: banjir diaceh  bandung  jakarta Api: kebakaran dipasar klewer solo Udara: hilangnya pesawat airasia,2,,,
@BurungNurry,12/30/2014,Thx geng huruhara yuhuu RT @BIGREDS_SERANG: Juara sebenernya adalah semua regional perusak NASA. bocorbocor.fokus jakarta keseret banjir :)),2,,,
@BIGREDS_SERANG,12/30/2014,Juara sebenernya adalah semua regional perusak NASA...bocor...bocor...fokus Jakarta ajur  keseret banjir :)),2,,,
@sameoldvespa,12/30/2014,"Effect kelantan n jakarta banjir ""@areefzakwan: Akibat tak beradab dengan tumbuhan.""",2,,,
@anitabasuki,12/30/2014,Siapin pelampung dan perahu karet @KicauSunyi:Wuih @PORTALKBR:BNPB Tentukan 20 Januari Tanggap Darurat Banjir Jakarta http://goo.gl/fb/zK3yZL?,2,,,
@FahruroziIshaq,12/30/2014,Tolong ya. Lagi musim hujan Jakarta rawan banjir. Jangan buang air besar  yang kecil aja.,2,,,
@Kopdar_Jakarta,12/30/2014,Meski banjir udah surut  tapi engga berarti selesai gitu aja kegiatan posko. Masih ada tahap pasca bencana :),3,,,
@beritaKBR,12/30/2014,BNPB Tentukan 20 Januari Tanggap Darurat Banjir Jakarta http://goo.gl/fb/zK3yZL?,2,,,
@citizen_jurnal,12/30/2014,JAKARTA - Televisi swasta TVOne kembali menuai banjir kritik lantaran menayangkan secara utuh gambar seorang... http://fb.me/3tVG2ddI9?,1,,,
@NovarL,12/30/2014,@RatnaPratikaS Yaudah iya deh   gua ngeri kalo lu nangis   jakarta ntar bisa banjir   wk,2,,,
@RumahInvest,12/30/2014,20 Januari 2015 Diprediksi Puncak Banjir Jakarta: Badan Nasional Penanggulangan Bencana (BNPB) memprediksi pun... http://bit.ly/1A7Hffi?,2,,,
@SantosoKaroJoko,12/30/2014,diawali dgn Banjaregara dan Airasia..\napakah pesta pora akan diikuti kembali oleh Banjir Jakarta..??,2,,,
@lnfoJakarta,12/30/2014,Puncak Banjir Jakarta Diprediksi Mulai 20 Januari 2015 - BeritaSatu: BeritaSatuPuncak Banjir Jakarta Diprediks... http://bit.ly/1AfBttt?,2,,,
@oposisi08,12/30/2014,@untukmunegriku: Ahok mau selaikan banjir jakarta dgn satu hari saja cukup. Oh ternyata oh ternyata @ivan_albar @wawan309wsn.,2,,,
@PuisiSelamat,12/30/2014,#Sabtu    Info Jakarta @infojekardah     :Sabtu Pagi  Jakarta Timur Banjir Lagi - http://Tempo.co?? http...  http://goo.gl/PGI95U?,3,,,
@AmazingIbu,12/30/2014,Puncak Banjir Jakarta Diprediksi Mulai 20 Januari 2015: Jakarta - Bencana banjir yang kerap melanda Ibu Kota d... http://bit.ly/1twXEe4?,2,,,
@info_Jakarta,12/30/2014,Puncak Banjir Jakarta Diprediksi Mulai 20 Januari 2015 http://bit.ly/1voH2PY?,2,,,
@ODOJDIY,12/30/2014,Longsor banjarnegara  banjir jakarta & bandung  pasar klewer solo terbakar  musibah Air Asia. Masih ada yg tega mau hura2 rayain tahun baru?,3,,,
@dianrapian,12/30/2014,KompasProperti: Drainase Buruk Penyebab Banjir Jakarta pic.twitter.com/RzYiRpqos1 http://bit.ly/1EEuGO6?,2,,,
@AmaBae,12/30/2014,Jakarta lautan air ? RT @Metro_TV: BNPB Prediksi Banjir Luas Terjadi di Januari-Februari 2015  http://metrotvn.ws/A338672?,2,,,
@affizakiyya,12/30/2014,Jakarta udah ngga banjir lagi?,2,,,
@abdurarsyad,12/30/2014,Malam ini di shooting @FilmAIRdanAPI scene banjir Jakarta lagi. Menyelam dan menolong orang itu memang bukan pekerjaan mudah.,2,,,
@KompasProperti,12/30/2014,Drainase Buruk Penyebab Banjir Jakarta http://kom.ps/AFowqG?pic.twitter.com/THkVTFoFdB,2,,,
@teh_tariq,12/30/2014,"Pasti anda bukan orang Jakarta :))) ""@ghiffarabel: @Felixwanardy @teh_tariq @hazpohan @maspiyungan banjir tetaplah banjir""",2,,,
@englisharizky,12/30/2014,Tanah : Tanah longsor Banjarnegara\nAir : Banjir di Bandung & Jakarta\nApi : Kebakaran pasar Klewer Solo\nUdara : Pesawat Air Asia ,3,,,
@Beritasatu,12/30/2014,Puncak Banjir Jakarta Diprediksi Mulai 20 Januari 2015 http://brt.st/4nZj?,2,,,
@Delta_FM,12/30/2014,Amin brooh RT @IksanRohyat: @Delta_FM : Harapan Saya di tahun 2015 Jakarta Bebas Banjir ({}),2,,,
@PuisiSelamat,12/30/2014,#Sabtu    Info Jakarta @infojekardah     :Sabtu Pagi  Jakarta Timur Banjir Lagi - http://Tempo.co?? http...  http://goo.gl/PGI95U?,3,,,
@chirpstory,12/30/2014,Ramai dibicarakan: ?Abal-abalkah Tuduhan @MetroTV Tak Siarkan Banjir Jakarta?? dari .@SandiIswahyudi http://chirpstory.com/li/245065?,2,,,
@TIGORaja,12/30/2014,"Gusur juga yg bikin banjir #jakarta @MIdotcom: Pembangunan Mal dan Apartemen Mewah Dibatasi http://bit.ly/1zsI3Zw? pic.twitter.com/zPXjU7onTz""",2,,,
@Hafizhaskari,12/30/2014,longsor banjarnegara  banjir bandung  kecelakaan air asia  di jakarta mau ngadain pesta2? Wah kayaknya jakarta siap2 mau nyusul tuh :)),2,,,
@fahmikrisna,12/30/2014,@mustofanahra @threeratno jangan banyak pesta lah  nanti kayak tahun 2014 awal Jakarta lumpuh gara2 banjir. Mending banyakin amal jariyah,2,,,
@MbahUyok,12/30/2014,@DPP_FPI\n#LongsorBanjarnegara #BanjirJakarta #PasarKlewer #AirAsiaQZ8501\n\nDuka berturut2  masihkah merasa pantas pesta tahun baru..?,3,,,
@teh_tariq,12/30/2014,"Jkt banjir daerah tertentu aja  tdk separah Bandung! @hazpohan: Mati langkah ""@maspiyungan: Katanya Ahok Siap Mati Untuk Jakarta  Eh Jtt ban",2,,,
@sapto_waluyo,12/30/2014,Banjir masih mengancam Ibukota & daerah rawan lain. Indonesia berduka. Pantaskah Gub Jakarta @basuki_btp berpesta? #Stop.Pesta.Tahun.Baru,3,,,
@ibnux,12/30/2014,Tahun baru berpesta disaat yang lain kena musibah :(\nBelum nanti di Jakarta banjir lagi,3,,,
@Kangsyam78,12/30/2014,RT @mister_ical: Nyelametin Muka Jokowi-Ahok <-- Tak Liput Banjir Jakarta  Metro TV Dibanjiri Sindiran Netizen http://www.pkspiyungan.org/2014/12/tak-liput-banjir-jakarta-metro-tv.html?? #AirAs,1,,,
@bolaekajaya,12/30/2014,Penjaring Sampah Mencegah Banjir di Jakarta http://bit.ly/1HYMYWB?,2,,,
@ujung_pagi,12/30/2014,Jakarta banjir bilangnya kiriman dr bogor  lah bogor ujan kiriman dr siape? Ga adil ni penyiar tv!!,2,,,
@PuisiSelamat,12/30/2014,#Sabtu    Info Jakarta @infojekardah     :Sabtu Pagi  Jakarta Timur Banjir Lagi - http://Tempo.co?? http...  http://goo.gl/PGI95U?,3,,,
@AmanmbaAmansh,12/30/2014,@MustofaNahra @wulan5674 @ardianasmar makan angin malam dan minumnya air banjir Jakarta,2,,,
@prazjp,12/29/2014,Atasi Banjir Jakarta dengan Sumur Injeksi  Lebih Murah dari Sodetan: WARTA KOTA  PASAR MINGGU - Masalah banjir... http://bit.ly/1twxf0b?,2,,,
@PFC_Jakarta,12/29/2014,PELOR Band: Sisihkan Bayaran  Trio Macan Sumbang Korban Banjir Malaysia: Trio Macan sendiri sedang berada ... http://bit.ly/1tgnxZO? thx,2,,,
@ACTforHumanity,12/29/2014,DERM & MRI: Siap Hadapi Kemungkinan Banjir Jakarta\nhttp://act.id/id/whats-happening/view/1031/derm-mri-siap-hadapi-kemungkinan-banjir??\n#BersatuHadapiBencanapic.twitter.com/6GTRCE3OUC,2,,,
@ndan_dan,12/29/2014,Bajarnegara banjir bandung banjir jakarta musibah air asia.malam thn baru mau pesta juga? *otak ga dipake*,3,,,
@309_mayat,12/29/2014,Saya minta maaf kepada suporter kami bahwa uji coba melawan Persija Jakarta batal karena banjir yang melanda Malaysia  tulisnya.,3,,,
@kalangkyang79,12/29/2014,Jkwi jd pres  jkrta bebas banjir kan? Hah @semesta_kicau: malam tahun baruan di jakarta asik. menikmati pesta kembang api dari atas perahu,2,,,
@fadli_akbar,12/29/2014,YaAlloh semarang macet yaAlloh banjir pula... Kirain jakarta sama bandung doang... Colek @MMelmela @kurniac99 #ehh,3,,,
@Verlitamae,12/29/2014,"Kota banjir ;) @positve_oposite @_Handschar_ menyebut aceh sebagai ""serambi mekah"" ... maka apa istilah bagi Jakarta jika piagam Jakarta",2,,,
@joylele1,12/29/2014,Gak hanya pesawat yang hilang.\nBrita banjir jakarta juga menghilang .,2,,,
@tarsihekaputra,12/29/2014,Banjir Jakarta mungkin bukan BENCANA melainkan RUTINITAS  betulkah YTH pak gub @basuki_btp,2,,,
@PuisiSelamat,12/29/2014,#Sabtu    Info Jakarta @infojekardah     :Sabtu Pagi  Jakarta Timur Banjir Lagi - http://Tempo.co?? http...  http://goo.gl/PGI95U?,3,,,
@JackBiker,12/29/2014,Motor #Mogok Terjebak #Banjir  Ini Penanganan Daruratnya\nhttp://j.mp/1BeTHto?\ncc: @hvc_jakarta @astramotor @AHJ_Jakarta @Honda_Bintang,2,,,
@indra_nikif,12/29/2014,"hiks hiks ... mungkin sudah almarhum.. ""@Yozi_dp: emm  kmana ya tv ksyngan kita. Biasanya trdepan liput banjir jakarta.#kangenmetroygdulu""",2,,,
@Rudimusical,12/29/2014,Si Bapak RI 1  Keliling Terus ya Kenapa??\nOhh  Si Bapak RI 1 lagi menghindar Kota Jakarta  Karena Tidak kuat dengan Jakarta yg Banjir Terus.,2,,,
@phita_dcz,12/29/2014,@ant_ws walahhh. .wes kebak ning jakarta. .engko keno banjir.haha,2,,,
@WDRAnjani,12/29/2014,@utrmrsh_  bukannya jakarta banjir ya ?,2,,,
@totosmongi,12/29/2014,#JBluesInternet Inilah Sejarah Banjir Jakarta (12) http://bit.ly/1HYhFuY? #BlusukanDuniaMaya,2,,,
